Year,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DataValueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2020,2021,CT,Connecticut,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,11.7,11.7,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,4.9,25.4,Race/Ethnicity,"Multiracial, non-Hispanic",9,NPAW,NPW07,CRDPREV,RACE,MRC
2020,2021,AR,Arkansas,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,21.5,21.5,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,11.4,36.8,Race/Ethnicity,"Black, non-Hispanic",5,NPAW,NPW07,CRDPREV,RACE,BLK
2020,2021,AL,Alabama,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,36.8,36.8,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,19.3,58.7,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",1,NPAW,NPW07,CRDPREV,RACE,AIAN
2020,2021,AR,Arkansas,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,36.6,36.6,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,20.5,56.3,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",5,NPAW,NPW07,CRDPREV,RACE,AIAN
2020,2021,CT,Connecticut,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,27.1,27.1,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,17.0,40.3,Race/Ethnicity,Hispanic,9,NPAW,NPW07,CRDPREV,RACE,HIS
2020,2021,CO,Colorado,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,15.9,15.9,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,6.9,32.2,Race/Ethnicity,"Asian, non-Hispanic",8,NPAW,NPW07,CRDPREV,RACE,ASN
2020,2021,AK,Alaska,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,51.2,51.2,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,30.2,71.7,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",2,NPAW,NPW07,CRDPREV,RACE,AIAN
2020,2021,CA,California,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,23.4,23.4,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,11.6,41.7,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",6,NPAW,NPW07,CRDPREV,RACE,AIAN
2020,2021,AL,Alabama,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,32.0,32.0,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,15.2,55.2,Race/Ethnicity,Hispanic,1,NPAW,NPW07,CRDPREV,RACE,HIS
2020,2021,CO,Colorado,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,26.7,26.7,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,15.5,41.8,Race/Ethnicity,"Multiracial, non-Hispanic",8,NPAW,NPW07,CRDPREV,RACE,MRC
2020,2021,AK,Alaska,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,36.8,36.8,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,20.5,56.9,Race/Ethnicity,Hispanic,2,NPAW,NPW07,CRDPREV,RACE,HIS
2020,2021,AK,Alaska,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,28.5,28.5,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,19.3,39.9,Race/Ethnicity,"Multiracial, non-Hispanic",2,NPAW,NPW07,CRDPREV,RACE,MRC
2020,2021,AZ,Arizona,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,%,Crude Prevalence,9.7,9.7,###,Interpret with caution: 95% confidence interval width is greater than 20 percentage points or 1.2 times the estimate,3.0,27.2,Race/Ethnicity,"Multiracial, non-Hispanic",4,NPAW,NPW07,CRDPREV,RACE,MRC
